商品链接,商品名称,商品类目,价格,联系方式,仓库地址,在库库存,在途库存,运费,准时交货率,准时处理时间/工作日,退款率,订单完成率,缺货程度,关键信息变更次数
https://www.neobund.com/detail/5351,"1 piece of hoodie, wearable blanket, comfortable and warm TV blanket, fashionable and simple, enlarged and thickened winter warm men's and women's hoodie, oversized blanket, sports shirt, super soft, warm and comfortable wearable blanket, hoodie, Thanksgi","['Womenswear & Underwear', ""Women's Tops"", 'Hoodies & Sweaters']",10.99,+1 347 654 9702,"114 Melrich Road STE E, 114 Melrich Road STE E,  Cranbury, New Jersey",5,100,$8.00,96.28,0.86,0,99.8,0.69,0.91
https://www.neobund.com/detail/823,Green Tea Clay Mask Stick,"['Beauty & Personal Care', 'Skincare']",3,暂无,暂无,382,0,$4.50,100,0.92,0,100,0,0.59
https://www.neobund.com/detail/2875,Automatic Interactive Cat Toy 4 in 1 Rechargeable Cat Laser Toy for Indoor Moving Feather Hide and Seek Cat Toy Automatic Exercise and Relieve Boredom Toy (Blue and White),"['Pet Supplies', 'Dog & Cat Accessories', 'Cat Toys']",8,暂无,暂无,148,0,$11.50 - $17.00,100,0.27,0,100,0.6,0.78
https://www.neobund.com/detail/741,"2024 New Year Gift Makeup Brushes 28 Pcs Makeup Kit,Foundation Brush Eyeshadow Brush Make up Brushes Set ( 28 Piece Set Large)","['Beauty & Personal Care', 'Makeup']",4.99,+1 620 491 3724,"D0000, 3849 s Delsea dr D0000, Vineland, New Jersey",351,380,$7.99,98.86,0.38,0,100,0.06,0.08
https://www.neobund.com/detail/6672,"1pc, 3A grade,, funny mug, black ceramic mug, 11oz ceramic coffee mug, summer and winter drinking mug, birthday gift, holiday gift, Christmas gift, New Year gift","['Kitchenware', 'Drinkware']",4.5,暂无,暂无,999,0,$6.51,100,0.36,0,100,2.2,0.42
https://www.neobund.com/detail/3303,10PCS Handmade French Press On Nails\u002F Pink Nails\u002FReusable Nails\u002FShort Nails,"['Beauty & Personal Care', 'Hand, Foot & Nail Care']",7,+1 626 993 0518,"3900, E Philadelphia st, ontario, California",20,200,$4.30,100,0.45,0,100,0.01,0.02
https://www.neobund.com/detail/6130,"Toddlers' Uniform, Children's Sweater Cardigan, V-neck, Long Sleeve, Slim Fit Cardigan Sweater, Lightweight Button-up Cardigan, Cotton Knit Sweater, Children's School Uniform, Autumn Knit Sweater Jacket Black, 4-7 Years Boys And Girls","[""Kids' Fashion"", ""Girls' Clothes"", 'Tops', ""Girls' Knitwear""]",10.9,+1 818 625 8881,"3750, Blue Ridge Dr STE 100, Buford, Georgia",15,0,$7.95,98.91,1.32,0,100,0.16,0.56
https://www.neobund.com/detail/3154,"10 PCS Pink French Handmade Press On Nails,Elegant Press On Nails,\nReusable Nails,Party Nails","['Beauty & Personal Care', 'Hand, Foot & Nail Care']",6.8,+1 626 993 0518,"3900, E Philadelphia st, ontario, California",10,222,$4.30,100,0.45,0,100,0.01,0.02
https://www.neobund.com/detail/5436,"VEVOR Shutter Exhaust Fan, 14'' with Temperature Humidity Controller, EC-motor, 1513 CFM, 10-Speed Adjustable Wall Mount Attic Fan, Ventilation and Cooling for Greenhouses, Garages, Sheds, ETL Listed","['Household Appliances', 'Commercial Appliances']",76.79,+1 234 567 8999,"1, 200 Docks Corner Road, Dayton, New Jersey",1371,0,$15.00,99.54,0.31,0,99.98,0.78,0.1
https://www.neobund.com/detail/962,"EP LIGHT Pink Hydrangea Flower Table Lamp, Ambient Night Lights, Bedside lamp, Holiday gifts","['Home Improvement', 'Lights & Lighting']",21-28,+1 617 840 6603,"1135 , WALSH AVE , SANTA CLARA, California",100,0,$9.00,99.36,0.43,0.03,99.98,0.25,0.07
https://www.neobund.com/detail/3486,"Camping Chair, Folding Chair,Outdoor Camping Folding Aluminium Alloy ChairOutdoor Portable Aluminium Alloy Folding Chair Kinkemite Folding ChairSpring Beach ChairCamping Folding Stool","['Sports & Outdoor', 'Camping & Hiking Equipment', 'Camping Furniture']",20-35,+1 909 319 3819,"9863 , Acacia St，unit 135 Rancho Cucamonga, CA 91730, Cucamonga, California",200,0,$13.00 - $15.00,100,0.8,0,100,0.17,0.68
https://www.neobund.com/detail/2576,1 piece 24-inch ceramic thin-edged basin Modern bathroom cabinet basin Toilet bathroom wash basin rectangular bright white,"['Home Improvement', 'Bathroom Fixtures', 'Bathroom Sinks']",27.7,+1 818 805 8515,"2180 South Wineville Avenue, 2180 South Wineville Avenue, Ontario, California",0,20,$30.00,99.28,0.65,0,99.98,0.25,0.44
https://www.neobund.com/detail/7685,"VEVOR 70L 18.5Gal Water Alcohol Distiller 304 Stainless Steel Alcohol Still Wine Making Boiler Home Kit with Thermometer for Whiskey Brandy Essential, Sliver","['Kitchenware', 'Drinkware']",210.14,+1 234 567 8999,"1, 200 Docks Corner Road, Dayton, New Jersey",205,0,$15.00,99.54,0.31,0,99.98,0.78,0.1
https://www.neobund.com/detail/1042,"Stair Stepper with Resistance Upgraded Stair Stepper Machine with 10DB Super Quiet, Air-Powered Mini Stepper with Resistance,Air-Powered Twist Stepper for Full Body Workout","['Sports & Outdoor', 'Fitness Equipment']",40,+1 626 313 7268,"9935, Beverly Blvd Unit 3, Pico Rivera, California",99,0,$12.00,99.4,0.59,0,100,0,0.25
https://www.neobund.com/detail/6464,"2pcs Cut Resistant Farmers Sleeves with Thumb Hole, Anti Abrasion for Thin Skin, Gardening, Welding, Kitchen, Arm Guards for Biting, Pet Grooming and More","['Tools & Hardware', 'Garden Tools', 'Gardening Gloves & Protective Gear']",5.45-5.85,暂无,暂无,114,0,$4.50,100,0.54,0,100,0.57,0.8
https://www.neobund.com/detail/5831,"H4 Foldable HD Camera Drone with Adjustable Lens - 360° Active Obstacle Avoidance, Altitude Hold, Headless Mode, and USB Charging","['Phones & Electronics', 'Cameras & Photography', 'Drones & Accessories']",56,+1 909 529 3196,"C\u002FO, 2221 Remington Ave, Ontario, California",29,200,$8.50,100,0.25,0.02,100,0.42,0.34
https://www.neobund.com/detail/4878,"9 piece Hip Hop baseball cap - high quality fabric, comfortable fit to enhance your fashion atmosphere","['Fashion Accessories', 'Clothes Accessories']",41.84,+1 469 268 7109,"1400 Summit Ave suite A, 1400 Summit Ave suite A, Plano, Texas",1000,0,$9.90,99.28,0.65,0,99.98,0.25,0.44
https://www.neobund.com/detail/5375,30 inch Braided Wigs for Black Women Full Lace Front Box Braided\n Wig KnotlessBraided Wigs Lightweight Braids Synthetic Lace Front Wig\n  Black  plus light brown Hand Braided \nWigs With Baby Hair synthetic wig,"['Fashion Accessories', 'Hair Extensions & Wigs']",24,+1 646 886 9969,"62, 62 Lincoln RD  W  Plainview, NY, New York",50,0,$9.20,0,0,0,0,0,0
https://www.neobund.com/detail/4501,"(ESB-0.5+0.75)Pull Up Assist Bands | Heavy Duty Resistance Straps | Latex Exerceise Bands for Body Stretching, Powerlifting, Resistance Training","['Sports & Outdoor', 'Fitness Equipment']",10.5,+1 714 533 8118,"1428, W. Central Park Ave. S., Anaheim, California",50,0,$9.00,100,0.6,0.01,100,0.1,0.15
https://www.neobund.com/detail/2149,8-Piece Ins South American Style Beaded Bracelet Vintage Ethnic Style Handmade Woven Factory Direct Sales Bead Small Bracelet,"['Jewelry Accessories & Derivatives', 'Artificial Gemstones']",3,暂无,暂无,0,500,$5.00,98.92,0.58,0,100,0.03,0.03
https://www.neobund.com/detail/5351,"1 piece of hoodie, wearable blanket, comfortable and warm TV blanket, fashionable and simple, enlarged and thickened winter warm men's and women's hoodie, oversized blanket, sports shirt, super soft, warm and comfortable wearable blanket, hoodie, Thanksgi","['Womenswear & Underwear', ""Women's Tops"", 'Hoodies & Sweaters']",10.99,+1 347 654 9702,"114 Melrich Road STE E, 114 Melrich Road STE E,  Cranbury, New Jersey",5,100,$8.00,96.28,0.86,0,99.8,0.69,0.91
https://www.neobund.com/detail/823,Green Tea Clay Mask Stick,"['Beauty & Personal Care', 'Skincare']",3,暂无,暂无,382,0,$4.50,100,0.92,0,100,0,0.59
https://www.neobund.com/detail/2875,Automatic Interactive Cat Toy 4 in 1 Rechargeable Cat Laser Toy for Indoor Moving Feather Hide and Seek Cat Toy Automatic Exercise and Relieve Boredom Toy (Blue and White),"['Pet Supplies', 'Dog & Cat Accessories', 'Cat Toys']",8,暂无,暂无,148,0,$11.50 - $17.00,100,0.27,0,100,0.6,0.78
https://www.neobund.com/detail/741,"2024 New Year Gift Makeup Brushes 28 Pcs Makeup Kit,Foundation Brush Eyeshadow Brush Make up Brushes Set ( 28 Piece Set Large)","['Beauty & Personal Care', 'Makeup']",4.99,+1 620 491 3724,"D0000, 3849 s Delsea dr D0000, Vineland, New Jersey",351,380,$7.99,98.86,0.38,0,100,0.06,0.08
https://www.neobund.com/detail/6672,"1pc, 3A grade,, funny mug, black ceramic mug, 11oz ceramic coffee mug, summer and winter drinking mug, birthday gift, holiday gift, Christmas gift, New Year gift","['Kitchenware', 'Drinkware']",4.5,暂无,暂无,999,0,$6.51,100,0.36,0,100,2.2,0.42
https://www.neobund.com/detail/3303,10PCS Handmade French Press On Nails\u002F Pink Nails\u002FReusable Nails\u002FShort Nails,"['Beauty & Personal Care', 'Hand, Foot & Nail Care']",7,+1 626 993 0518,"3900, E Philadelphia st, ontario, California",20,200,$4.30,100,0.45,0,100,0.01,0.02
https://www.neobund.com/detail/6130,"Toddlers' Uniform, Children's Sweater Cardigan, V-neck, Long Sleeve, Slim Fit Cardigan Sweater, Lightweight Button-up Cardigan, Cotton Knit Sweater, Children's School Uniform, Autumn Knit Sweater Jacket Black, 4-7 Years Boys And Girls","[""Kids' Fashion"", ""Girls' Clothes"", 'Tops', ""Girls' Knitwear""]",10.9,+1 818 625 8881,"3750, Blue Ridge Dr STE 100, Buford, Georgia",15,0,$7.95,98.91,1.32,0,100,0.16,0.56
https://www.neobund.com/detail/3154,"10 PCS Pink French Handmade Press On Nails,Elegant Press On Nails,\nReusable Nails,Party Nails","['Beauty & Personal Care', 'Hand, Foot & Nail Care']",6.8,+1 626 993 0518,"3900, E Philadelphia st, ontario, California",10,222,$4.30,100,0.45,0,100,0.01,0.02
https://www.neobund.com/detail/5436,"VEVOR Shutter Exhaust Fan, 14'' with Temperature Humidity Controller, EC-motor, 1513 CFM, 10-Speed Adjustable Wall Mount Attic Fan, Ventilation and Cooling for Greenhouses, Garages, Sheds, ETL Listed","['Household Appliances', 'Commercial Appliances']",76.79,+1 234 567 8999,"1, 200 Docks Corner Road, Dayton, New Jersey",1371,0,$15.00,99.54,0.31,0,99.98,0.78,0.1
https://www.neobund.com/detail/962,"EP LIGHT Pink Hydrangea Flower Table Lamp, Ambient Night Lights, Bedside lamp, Holiday gifts","['Home Improvement', 'Lights & Lighting']",21-28,+1 617 840 6603,"1135 , WALSH AVE , SANTA CLARA, California",100,0,$9.00,99.36,0.43,0.03,99.98,0.25,0.07
https://www.neobund.com/detail/1722,1PC Desktop Cosmetics Divided Storage Box Multi functional Jewelry Skincare Product Storage Rack Transparent Dust and Waterproof Desktop Dressing Table Storage Box Storage Skincare Product Divided Storage Box,"['Home Supplies', 'Home Organizers', 'Storage Boxes & Bins']",18,+1 909 969 3727,"5401 E Jurupa Street, 5401 E Jurupa Street, Ontario, California",14,0,$6.00,99.94,0.42,0.16,100,0.32,0.55
https://www.neobund.com/detail/1282,"Sports Sunglasses For Men And Women, Ideal For Cycling, Skiing, Driving, And Mountain Climbing","['Sports & Outdoor', 'Sports & Outdoor Accessories']",4.99,+1 347 721 5717,"7940 , rutillio CT unit005, new port richey, Florida",498,1000,$4.99,98.97,0.33,0,100,0.14,0
https://www.neobund.com/detail/3452,"Fluororubber Band For Apple Watch Ultra 2\u002F1 (49mm) - FKM Rubber Waterproof Band Not Liquid Silicone material skin-friendly suitable for Men\u002FWomen outdoor sports Compatible with Series 9\u002F8\u002F7 (45mm), S6\u002F5\u002F4\u002FSE  (44mm), Series 3\u002F2\u002F1 (42mm) The Larger size ","['Phones & Electronics', 'Smart & Wearable Devices']",14.9,+1 609 499 0432,"UNITC（A1-A11）, C\u002FO 1175 Florence Columbus Road, Bordentown, New Jersey",0,20,$4.70,100,0.46,0,100,0.02,0.17
https://www.neobund.com/detail/7773,28 Grid Diy Beaded Cover Box 6mm Rainbow Color Plastic Seed Beads Plastic Loose Beads For Handmade Bracelet Necklace Jewelry Making,"['Toys & Hobbies', 'DIY', 'Beading & Jewelry Making']",2,暂无,暂无,200,2000,$5.00,98.92,0.58,0,100,0.03,0.03
https://www.neobund.com/detail/3407,10 PCS LONG SQUARE PRESS ON NAISL(S144),"['Beauty & Personal Care', 'Hand, Foot & Nail Care']",11,+1 626 993 0518,"3900, E Philadelphia st, ontario, California",30,700,$4.30,100,0.45,0,100,0.01,0.02
https://www.neobund.com/detail/7306,"Protein Powder,Protein Supplements,Supplement protein and promote metabolism","['Health', 'Food Supplements', 'Fitness Supplements']",9.9,+1 323 616 7775,"13827, Benson Ave, Chino, New York",156,0,$8.00,76.11,1.44,0,99.7,0.14,0.12
https://www.neobund.com/detail/7392,"1 piece canvas painting with wooden frame, ready to hang, abstract lady in red painting print, suitable for Halloween, beach party, anniversary - wooden frame decorative painting, artistic lady in white hat - home living room decoration","['Home Supplies', 'Home Decor', 'Posters & Prints']",8.9-46.9,+1 702 427 6366,"749 canary wharf dr. las vegas. NV. 89178 , Canary Wharf Boulevard, Las Vegas, Nevada",532,0,$6.90,100,0.54,0,100,0.01,0.16
https://www.neobund.com/detail/6026,"Leather Wall Clock, Decorative Quartz Wall Clock ","['Home Supplies', 'Home Decor', 'Clocks']",20,+1 617 840 6603,"1135 , WALSH AVE , SANTA CLARA, California",50,0,$5.00,99.36,0.43,0.03,99.98,0.25,0.07
https://www.neobund.com/detail/4494,"LED Bathroom Mirror With Light, Anti-fog And Dimming LED Bathroom Vanity Mirror","['Home Improvement', 'Bathroom Fixtures']",248.99,+1 469 268 7109,"1400 Summit Ave suite A, 1400 Summit Ave suite A, Plano, Texas",120,0,$55.00,99.28,0.65,0,99.98,0.25,0.44
https://www.neobund.com/detail/3394,1 pot rack pot storage kitchen stainless steel shelf layered storage rack multi-layer household cabinet under sink,"['Home Supplies', 'Home Organizers', 'Storage Holders & Racks']",15-16,+1 909 969 3727,"5401 E Jurupa Street, 5401 E Jurupa Street, Ontario, California",198,0,$5.00,99.94,0.42,0.16,100,0.32,0.55
https://www.neobund.com/detail/5482,"VEVOR Wet Dry Vac, 2.6 Gallon, 2.5 Peak HP, 3 in 1 Shop Vacuum with Blowing Function, Portable with Attachments to Clean Floor, Upholstery, Gap, Car, ETL Listed, Yellow","['Household Appliances', 'Home Appliances', 'Vacuum Cleaners & Sweeping Robots', 'Vacuums']",20,+1 234 567 8999,"1, 200 Docks Corner Road, Dayton, New Jersey",382,0,$15.00,99.54,0.31,0,99.98,0.78,0.1
https://www.neobund.com/detail/1309,Emma Manor 925 Sterling Silver Stud Earrings 4 Prong Princess Cut Square Cubic Zirconia Ear Stud for Women Men Girl CZ 4mm-7mm,"['Fashion Accessories', 'Costume Jewelry & Accessories']",3.99-6.99,+1 646 645 3396,"98, Sandy Creek Dr, Covington, Georgia",29,0,$5.00,100,0.16,0.01,100,0,0.45
https://www.neobund.com/detail/5522,"Dog Grooming Set, Pet Vacuum Cleaner, Pet Blower, Drying and Suction 2 in 1 with 8 Pet Grooming Tools, 11.5KPa Pet Grooming Vacuum Cleaner for Sofa\u002FStairs\u002FCar, Low Noise Dog Grooming Vacuum Cleaner with Dog Trimmer","['Pet Supplies', 'Dog & Cat Grooming', 'Bath Accessories']",45.08,暂无,暂无,140,0,$16.50 - $25.50,100,0.27,0,100,0.6,0.78
https://www.neobund.com/detail/5894,V34 Teeth cleaning mousse  Whitening Teeth Clean Care gums Fresh breath Press toothpaste,"['Beauty & Personal Care', 'Nasal & Oral Care']",4.5,+1 973 867 8768,"ARMSTRONG LOGISTICS INC. (NJ), 250 CARTER DR,  EDISON, New Jersey",1880,0,$4.99,100,0.19,0,99.95,0.64,0.47
https://www.neobund.com/detail/7023,Emma Manor Elegant Round Zirconia Hoop Earrings 14k White Gold Plated Dangle Earrings\n,"['Fashion Accessories', 'Costume Jewelry & Accessories']",6.99,+1 646 645 3396,"98, Sandy Creek Dr, Covington, Georgia",33,0,$5.00,100,0.16,0.01,100,0,0.45
https://www.neobund.com/detail/7082,Vertical fork ramie trend sports breathable socks black socks solid color(Twelve pairs),"['Sports & Outdoor', 'Sports & Outdoor Accessories']",12,+1 626 267 3270,"500, 500 S Hacienda Blvd, City Of Industry, California",2135,2148,$5.00,100,0.83,0.25,99.25,0.52,0.74
https://www.neobund.com/detail/6321,Blue Women's Ripped Denim Shorts Summer Cotton Elastic Casual Pull-On Straight Leg with Pockets Denim Shorts,"['Womenswear & Underwear', ""Women's Bottoms""]",5,+1 201 555 0123,"1351, Charles Willard Street, Carson, California",10,0,$6.00,100,0.17,0,100,0.5,0.49
https://www.neobund.com/detail/4307,"ZEALOT P1 40W Wireless Speaker with Microphone, Outdoor Portable Subwoofer Speaker Wireless Speaker, Dual Pairing, 7200mAh Battery, 30 Hours of Playback Time Loud Stereo Sound, Flooding Bass.Connect to your phone\u002Ftablet\u002FTV. Home, Car, Outdoor.","['Phones & Electronics', 'Audio & Video']",42,+1 909 529 3196,"C\u002FO, 2221 Remington Ave, Ontario, California",0,200,$8.50,100,0.25,0.02,100,0.42,0.34
https://www.neobund.com/detail/3280,10 PCS Hnadmade Press On Nails\u002FBlue Color Long Nails\u002F3XL Long Nails\u002F\nBright Nails\u002FElegant Nails\u002FParty Nails,"['Beauty & Personal Care', 'Hand, Foot & Nail Care']",13,+1 626 993 0518,"3900, E Philadelphia st, ontario, California",19,70,$4.30,100,0.45,0,100,0.01,0.02
https://www.neobund.com/detail/3348,"TWS BluetoothEarbuds Headphones,Earbuds withFull Color Display, Noise CancellingBluetooth Earbuds, in-Ear Earphonefor iPhone Andriod Sport AudioMicrophone touchscreen earpiece","['Phones & Electronics', 'Audio & Video']",9.58,+1 626 392 9299,"6135, 6135 district Blvd, Maywood, California",0,500,$5.88,99.16,0.4,0,100,0.35,0.29
https://www.neobund.com/detail/3651,"5LB, 2 pieces per package apollo Dumbbell  for both commercial and home usage  High-end Coated Octagon Dumbbell ,","['Sports & Outdoor', 'Fitness Equipment', 'Weight Training', 'Weight Lifting']",10,+1 714 533 8118,"1428, W Central Park Ave S, Anaheim, California",197,0,$13.80,100,0.6,0.01,100,0.1,0.15
https://www.neobund.com/detail/4166,30pc Colorful Mini Seed Beads Beaded Bracelet Set Boho Style Stackable Elastic Stretch Hand String Jewelry Set,"['Toys & Hobbies', 'DIY']",3,+1 626 988 3268,"212E , Monterey Ave, Pomona, California",615,200,$5.50,98.92,0.58,0,100,0.03,0.03
https://www.neobund.com/detail/7508,"Bodyaccel Tongue cleansing gel-tongue gel+Tongue brush,Tongue coating clean-Fresh breath-Plant extraction formula, no preservatives,Qinshuang Ice peach，Packs of two.","['Beauty & Personal Care', 'Nasal & Oral Care']",7.35,+1 209 306 1019,"901 , Chase Ave Suite A, Elk Grove Village, Illinois",10000,10000,$5.20,100,0.38,0,100,1.41,1.76
https://www.neobund.com/detail/2664,Walunt Robot Storage Cabinet Wine Cabinet Side Table ,"['Furniture', 'Indoor Furniture', 'Cupboards & Cabinets', 'Living Room Furniture']",175,+1 617 840 6603,"1135 , WALSH AVE , SANTA CLARA, California",9,150,$60.00,99.36,0.43,0.03,99.98,0.25,0.07
https://www.neobund.com/detail/7469,The 1:135 scale Boeing 777 FedEx Alloy Aircraft Model is available for collection and gifting,"['Collectibles', 'Sports Collectibles']",60,暂无,暂无,0,24,$12.63 - $19.40,90.91,1.03,0,100,0.64,0.18
https://www.neobund.com/detail/7103,"6ft Slim Pencil Christmas Tree, Artificial Tree","['Home Supplies', 'Festive & Party Supplies', 'Festive Decorations']",40.74,+1 909 413 2067,"18215 Rowland St, Dock 4, City of industry, California",368,0,$20.00,100,0.39,0.28,100,0.37,0.4
https://www.neobund.com/detail/3530,"16 in 1 8 Blade Vegetable Chopper, Onion Mincer, Cutter, Dicer, Egg Slicer with Container, French Fry Cutter Potatoe Slicer, Salad Chopper, Cheese Grater, Food Chopper Multifunctional and Safe Slice, Thickness Adjuster, Easy To Clean, Space Saving","['Kitchenware', 'Kitchen Utensils & Gadgets', 'Peelers & Cutters']",12,+1 909 529 3196,"C\u002FO, 2221 Remington Ave, Ontario, California",578,200,$8.50,100,0.25,0.02,100,0.42,0.34
https://www.neobund.com/detail/5333,"1set Acupuncture Massage Set. Soothe Reflex Zones, Enhance Blood Circulation, Middle-aged and Elderly Gifts","['Health', 'Alternative Medications & Treatments']",3.5,+1 949 345 0416,"895 S., Rockefeller Ave, Ste 106,, Ontario, California",29,0,$4.50,100,0.54,0,100,0.57,0.8
https://www.neobund.com/detail/4394,"Office chair capacity 350 pounds (about 158.8 kg), ergonomically comfortable home table chair, high back gaming chair with wheels, mesh computer chair, waist support, adjustable headrest, flip armrests","['Furniture', 'Commercial Furniture']",69,+1 909 689 9959,"1401, 1401 4th Ave, New Hyde Park, New York, New York",402,905,$38.00,100,0.83,0.25,99.25,0.52,0.74
https://www.neobund.com/detail/5047,"VEVOR Electric Trailer Jack, Power Tongue Jack Weight Capacity 4000 lbs, 9.84\""-33.85\"" Electric Tongue Jack with Waterproof Cover for Lifting RV Trailer, Horse Trailer, Utility Trailer, Yacht Trailer","['Automotive & Motorcycle', 'Car Repair Tools', 'Tire Repair & Fitting Tools', 'Jacks']",71.69,+1 234 567 8999,"1, 200 Docks Corner Road, Dayton, New Jersey",613,0,$15.00,99.54,0.31,0,99.98,0.78,0.1
https://www.neobund.com/detail/4128,Folding knife EDC Survival Knives Outdoor Camping Fishing ,"['Tools & Hardware', 'Hand Tools']",11.27,+1 909 362 9646,"VCUOS FBZ（CNS00372）, 437 BALDWIN PARK BLVD，AD0854，CITY OF INDUSTRY, Los Angeles, California",101,0,$6.38,96.77,0.35,0.08,99.92,0.05,0
https://www.neobund.com/detail/7131,"VEVOR Massage Gun Deep Tissue, Percussion Muscle Massager for Athletes - with 5 Speed Levels & 6 Massage Heads, 7.4V 2500mAh Batteries, Handheld Electric Massage Gun for Pain Relief, Muscle Relaxation","['Beauty & Personal Care', 'Personal Care Appliances']",35.99,+1 234 567 8999,"1, 200 Docks Corner Road, Dayton, New Jersey",1395,0,$15.00,99.54,0.31,0,99.98,0.78,0.1
https://www.neobund.com/detail/5095,(3 Pcs) Girls Casual Sweatpants Soft Solid 3 Pack Leggings,"[""Kids' Fashion"", ""Girls' Clothes"", 'Bottoms']",4.99,+1 646 386 1188,"71-07, 170th street, fresh meadow, New York",5,0,$4.90,100,0.83,0,100,0,0
https://www.neobund.com/detail/2174,"ROSALIND Nail Art Black White Gel Nail Polish Set Color Glue, 20 Pcs Gel Yellow Green Nail Polish 6ml Pink Solid Color Nail Polish Set for Women","['Beauty & Personal Care', 'Hand, Foot & Nail Care']",8.3,+1 620 491 3724,"3849 s Delsea dr D0000, 3849 s Delsea dr D0000,,  Vineland, New Jersey",194,200,$7.00,92.25,0.56,0,99.82,0.08,0.11
https://www.neobund.com/detail/2430,"Outdoor Solar Lights, Solar Lights Outdoor Waterproof Solar Garden Patio Spotlight Spotlight Pathway Landscape Lighting Wall Lights Auto On\u002FOff, 2 Pcs Set","['Home Improvement', 'Lights & Lighting']",25.99,+1 626 857 6597,"#B,11455, Cantu Galleano Ranch, Mira Loma, California",198,300,$1.99,0,0,0,0,0,0
https://www.neobund.com/detail/7782,"Makeup brush set, which includes foundation brushes, eyeshadow brushes and other types of makeup brushes.","['Beauty & Personal Care', 'Makeup', 'Makeup Brushes']",5.15,暂无,暂无,100,0,$8.00,99.28,0.65,0,99.98,0.25,0.44
