name,价格,链接,公司名称,公司地址,联系方式
"木制古龙水收纳盒,3 层黑色木质古龙水展示,带毛毡衬里抽屉储物香水收纳和隐藏隔层,送给男士的绝佳礼物",US$32.99,https://www.amazon.com/-/zh/sspa/click?ie=UTF8&spc=MTozNzQyMjA5MjM0ODIxMjY5OjE3MzI3OTg4Mzg6c3BfbXRmOjMwMDQ5MjQ4NDQwNDgwMjo6MDo6&url=%2Fdp%2FB0D3XY17J2%2Fref%3Dsr_1_7_sspa%3F__mk_zh_CN%3D%25E4%25BA%259A%25E9%25A9%25AC%25E9%2580%258A%25E7%25BD%2591%25E7%25AB%2599%26crid%3D2W9URSHSWWR7E%26dib%3DeyJ2IjoiMSJ9.LRIFaSmcHzETURWMyPr4hDPnYonCbvheQoETRC7G6Sdg1EOCYXoAm2il7OK4VPMtokqvk4cuso9Yvbb425tzAgWAEqhVnZ0eGZ3320zjBPTQZqSYLcxtq6qdcWLdoU2ayN0iM0ipaYYpp_cPnqqT55Mqyz3F71S8i_ejIE8I-_o63rKjYT0ecdwjaJsg3ccp5zAwNuo0RbpqLC5IFqdHCRjfqrigfmIf8Y1IhkIxOdfgAEOQKmgc_WlC2qiUeipD9PKgXTuIzAeotJY-D2_IyB4SHMKouuSEcU9gHOXbPhg.zGqJyyTwb8JQGCUcRzBLJBzJ_SorKkBOw4h0FNqLX8c%26dib_tag%3Dse%26keywords%3D%25E9%25A6%2599%25E6%25B0%25B4%26qid%3D1732798838%26sprefix%3Dxiangsh%252Caps%252C306%26sr%3D8-7-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,Viking Investment Co LLC,31967 Via Encima-SAN JUAN CAPISTRANO-CA-92675-US,暂无联系方式
实验室香水琥珀霜 200ml,US$50.00,https://www.amazon.com/-/zh/sspa/click?ie=UTF8&spc=MTozNzQyMjA5MjM0ODIxMjY5OjE3MzI3OTg4Mzg6c3BfbXRmOjIwMDEyNjA2Mzk2NzM5ODo6MDo6&url=%2Fdp%2FB0B2DK4RL6%2Fref%3Dsr_1_8_sspa%3F__mk_zh_CN%3D%25E4%25BA%259A%25E9%25A9%25AC%25E9%2580%258A%25E7%25BD%2591%25E7%25AB%2599%26crid%3D2W9URSHSWWR7E%26dib%3DeyJ2IjoiMSJ9.LRIFaSmcHzETURWMyPr4hDPnYonCbvheQoETRC7G6Sdg1EOCYXoAm2il7OK4VPMtokqvk4cuso9Yvbb425tzAgWAEqhVnZ0eGZ3320zjBPTQZqSYLcxtq6qdcWLdoU2ayN0iM0ipaYYpp_cPnqqT55Mqyz3F71S8i_ejIE8I-_o63rKjYT0ecdwjaJsg3ccp5zAwNuo0RbpqLC5IFqdHCRjfqrigfmIf8Y1IhkIxOdfgAEOQKmgc_WlC2qiUeipD9PKgXTuIzAeotJY-D2_IyB4SHMKouuSEcU9gHOXbPhg.zGqJyyTwb8JQGCUcRzBLJBzJ_SorKkBOw4h0FNqLX8c%26dib_tag%3Dse%26keywords%3D%25E9%25A6%2599%25E6%25B0%25B4%26qid%3D1732798838%26sprefix%3Dxiangsh%252Caps%252C306%26sr%3D8-8-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,Laboratory Perfumes Ltd.,241-251 Ferndale Road-London-SW9 8BJ-GB,暂无联系方式
"Lavanila 天然无铝除臭剂 2 件装,纯香草 - 男女健康除臭剂,固体棒(2 盎司),纯素",US$22.00,https://www.amazon.com/-/zh/sspa/click?ie=UTF8&spc=MTozNzQyMjA5MjM0ODIxMjY5OjE3MzI3OTg4Mzg6c3BfbXRmOjIwMDA1MjAxNjg1NzE3MTo6MDo6&url=%2Fdp%2FB06XK7F1TX%2Fref%3Dsr_1_9_sspa%3F__mk_zh_CN%3D%25E4%25BA%259A%25E9%25A9%25AC%25E9%2580%258A%25E7%25BD%2591%25E7%25AB%2599%26crid%3D2W9URSHSWWR7E%26dib%3DeyJ2IjoiMSJ9.LRIFaSmcHzETURWMyPr4hDPnYonCbvheQoETRC7G6Sdg1EOCYXoAm2il7OK4VPMtokqvk4cuso9Yvbb425tzAgWAEqhVnZ0eGZ3320zjBPTQZqSYLcxtq6qdcWLdoU2ayN0iM0ipaYYpp_cPnqqT55Mqyz3F71S8i_ejIE8I-_o63rKjYT0ecdwjaJsg3ccp5zAwNuo0RbpqLC5IFqdHCRjfqrigfmIf8Y1IhkIxOdfgAEOQKmgc_WlC2qiUeipD9PKgXTuIzAeotJY-D2_IyB4SHMKouuSEcU9gHOXbPhg.zGqJyyTwb8JQGCUcRzBLJBzJ_SorKkBOw4h0FNqLX8c%26dib_tag%3Dse%26keywords%3D%25E9%25A6%2599%25E6%25B0%25B4%26qid%3D1732798838%26sprefix%3Dxiangsh%252Caps%252C306%26sr%3D8-9-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,Dala Beauty LLC,46 Winding Brook Way-SHREWSBURY-NJ-07702-US,暂无联系方式
Eau de Noir 内衣香水 5毫升,US$24.00,https://www.amazon.com/-/zh/sspa/click?ie=UTF8&spc=MTozNzQyMjA5MjM0ODIxMjY5OjE3MzI3OTg4Mzg6c3BfbXRmOjMwMDUzNzAzNDYyNzQwMjo6MDo6&url=%2Fdp%2FB09QM84CML%2Fref%3Dsr_1_10_sspa%3F__mk_zh_CN%3D%25E4%25BA%259A%25E9%25A9%25AC%25E9%2580%258A%25E7%25BD%2591%25E7%25AB%2599%26crid%3D2W9URSHSWWR7E%26dib%3DeyJ2IjoiMSJ9.LRIFaSmcHzETURWMyPr4hDPnYonCbvheQoETRC7G6Sdg1EOCYXoAm2il7OK4VPMtokqvk4cuso9Yvbb425tzAgWAEqhVnZ0eGZ3320zjBPTQZqSYLcxtq6qdcWLdoU2ayN0iM0ipaYYpp_cPnqqT55Mqyz3F71S8i_ejIE8I-_o63rKjYT0ecdwjaJsg3ccp5zAwNuo0RbpqLC5IFqdHCRjfqrigfmIf8Y1IhkIxOdfgAEOQKmgc_WlC2qiUeipD9PKgXTuIzAeotJY-D2_IyB4SHMKouuSEcU9gHOXbPhg.zGqJyyTwb8JQGCUcRzBLJBzJ_SorKkBOw4h0FNqLX8c%26dib_tag%3Dse%26keywords%3D%25E9%25A6%2599%25E6%25B0%25B4%26qid%3D1732798838%26sprefix%3Dxiangsh%252Caps%252C306%26sr%3D8-10-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"LAORGANIC Co., Ltd.","8F LAORGANIC-14-13, Teheran-ro 78-gil-Gangnam-gu-Seoul-06194-KR",暂无联系方式
Dior Miss Christian EDT 喷雾 3.4 盎司(约 96.4 克)(含),US$122.99,https://www.amazon.com/-/zh/dp/B07P6M7DPP/ref=sr_1_12?__mk_zh_CN=%E4%BA%9A%E9%A9%AC%E9%80%8A%E7%BD%91%E7%AB%99&crid=2W9URSHSWWR7E&dib=eyJ2IjoiMSJ9.LRIFaSmcHzETURWMyPr4hDPnYonCbvheQoETRC7G6Sdg1EOCYXoAm2il7OK4VPMtokqvk4cuso9Yvbb425tzAgWAEqhVnZ0eGZ3320zjBPTQZqSYLcxtq6qdcWLdoU2ayN0iM0ipaYYpp_cPnqqT55Mqyz3F71S8i_ejIE8I-_o63rKjYT0ecdwjaJsg3ccp5zAwNuo0RbpqLC5IFqdHCRjfqrigfmIf8Y1IhkIxOdfgAEOQKmgc_WlC2qiUeipD9PKgXTuIzAeotJY-D2_IyB4SHMKouuSEcU9gHOXbPhg.zGqJyyTwb8JQGCUcRzBLJBzJ_SorKkBOw4h0FNqLX8c&dib_tag=se&keywords=%E9%A6%99%E6%B0%B4&qid=1732798838&sprefix=xiangsh%2Caps%2C306&sr=8-12,Unineed Ltd,"Unineed Ltd, 33 Lynedoch Street-1-Glasgow-Glasgow (City of)-G3 6AA-GB",暂无联系方式
Kuumba Made 香草豆香精油滚珠 3.7毫升 | 滚珠香水 | 不含酒精,US$9.77,https://www.amazon.com/-/zh/dp/B07BBW73CR/ref=sr_1_13?__mk_zh_CN=%E4%BA%9A%E9%A9%AC%E9%80%8A%E7%BD%91%E7%AB%99&crid=2W9URSHSWWR7E&dib=eyJ2IjoiMSJ9.LRIFaSmcHzETURWMyPr4hDPnYonCbvheQoETRC7G6Sdg1EOCYXoAm2il7OK4VPMtokqvk4cuso9Yvbb425tzAgWAEqhVnZ0eGZ3320zjBPTQZqSYLcxtq6qdcWLdoU2ayN0iM0ipaYYpp_cPnqqT55Mqyz3F71S8i_ejIE8I-_o63rKjYT0ecdwjaJsg3ccp5zAwNuo0RbpqLC5IFqdHCRjfqrigfmIf8Y1IhkIxOdfgAEOQKmgc_WlC2qiUeipD9PKgXTuIzAeotJY-D2_IyB4SHMKouuSEcU9gHOXbPhg.zGqJyyTwb8JQGCUcRzBLJBzJ_SorKkBOw4h0FNqLX8c&dib_tag=se&keywords=%E9%A6%99%E6%B0%B4&qid=1732798838&sprefix=xiangsh%2Caps%2C306&sr=8-13,Thriving Enterprises,"8 The Green, Ste B-Dover-DE-19901-US",暂无联系方式
"9 英寸(约 22.9 厘米)亚克力架,4 层香水收纳盒和古龙水收纳架,Funko POP 搁板分层立管展示架,亚克力展示用于装饰和整理器",US$10.18,https://www.amazon.com/-/zh/sspa/click?ie=UTF8&spc=MTozNzQyMjA5MjM0ODIxMjY5OjE3MzI3OTg4Mzg6c3BfbXRmOjMwMDUyMDc3MzMwMjgwMjo6MDo6&url=%2Fdp%2FB09JZ9XDNS%2Fref%3Dsr_1_15_sspa%3F__mk_zh_CN%3D%25E4%25BA%259A%25E9%25A9%25AC%25E9%2580%258A%25E7%25BD%2591%25E7%25AB%2599%26crid%3D2W9URSHSWWR7E%26dib%3DeyJ2IjoiMSJ9.LRIFaSmcHzETURWMyPr4hDPnYonCbvheQoETRC7G6Sdg1EOCYXoAm2il7OK4VPMtokqvk4cuso9Yvbb425tzAgWAEqhVnZ0eGZ3320zjBPTQZqSYLcxtq6qdcWLdoU2ayN0iM0ipaYYpp_cPnqqT55Mqyz3F71S8i_ejIE8I-_o63rKjYT0ecdwjaJsg3ccp5zAwNuo0RbpqLC5IFqdHCRjfqrigfmIf8Y1IhkIxOdfgAEOQKmgc_WlC2qiUeipD9PKgXTuIzAeotJY-D2_IyB4SHMKouuSEcU9gHOXbPhg.zGqJyyTwb8JQGCUcRzBLJBzJ_SorKkBOw4h0FNqLX8c%26dib_tag%3Dse%26keywords%3D%25E9%25A6%2599%25E6%25B0%25B4%26qid%3D1732798838%26sprefix%3Dxiangsh%252Caps%252C306%26sr%3D8-15-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"Shenzhen Jinnuo Energy Development Co., Ltd.",大浪街道浪口社区华盛路39号华胜商业大厦1611-深圳市-龙华区-广东省-518109-CN,暂无联系方式
Leche Pal Pelo 头发飞溅香水 - 4 盎司,US$11.60,https://www.amazon.com/-/zh/sspa/click?ie=UTF8&spc=MTozNzQyMjA5MjM0ODIxMjY5OjE3MzI3OTg4Mzg6c3BfbXRmOjMwMDQxNDE2MDE0NjcwMjo6MDo6&url=%2Fdp%2FB0CTKZ7TLB%2Fref%3Dsr_1_16_sspa%3F__mk_zh_CN%3D%25E4%25BA%259A%25E9%25A9%25AC%25E9%2580%258A%25E7%25BD%2591%25E7%25AB%2599%26crid%3D2W9URSHSWWR7E%26dib%3DeyJ2IjoiMSJ9.LRIFaSmcHzETURWMyPr4hDPnYonCbvheQoETRC7G6Sdg1EOCYXoAm2il7OK4VPMtokqvk4cuso9Yvbb425tzAgWAEqhVnZ0eGZ3320zjBPTQZqSYLcxtq6qdcWLdoU2ayN0iM0ipaYYpp_cPnqqT55Mqyz3F71S8i_ejIE8I-_o63rKjYT0ecdwjaJsg3ccp5zAwNuo0RbpqLC5IFqdHCRjfqrigfmIf8Y1IhkIxOdfgAEOQKmgc_WlC2qiUeipD9PKgXTuIzAeotJY-D2_IyB4SHMKouuSEcU9gHOXbPhg.zGqJyyTwb8JQGCUcRzBLJBzJ_SorKkBOw4h0FNqLX8c%26dib_tag%3Dse%26keywords%3D%25E9%25A6%2599%25E6%25B0%25B4%26qid%3D1732798838%26sprefix%3Dxiangsh%252Caps%252C306%26sr%3D8-16-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,EURO BELLEZA LLC,11284 NW 66 ST.-DORAL-FL-33178-US,暂无联系方式
"男士信息素古龙水 – 30 毫升无酒精香水喷雾 – 日常穿着,带标志性男性香味 – 增强自信",US$25.80,https://www.amazon.com/-/zh/sspa/click?ie=UTF8&spc=MTozNzQyMjA5MjM0ODIxMjY5OjE3MzI3OTg4Mzg6c3BfbXRmOjMwMDM3MzM4MjQxNDkwMjo6MDo6&url=%2Fdp%2FB0D97VFXD3%2Fref%3Dsr_1_17_sspa%3F__mk_zh_CN%3D%25E4%25BA%259A%25E9%25A9%25AC%25E9%2580%258A%25E7%25BD%2591%25E7%25AB%2599%26crid%3D2W9URSHSWWR7E%26dib%3DeyJ2IjoiMSJ9.LRIFaSmcHzETURWMyPr4hDPnYonCbvheQoETRC7G6Sdg1EOCYXoAm2il7OK4VPMtokqvk4cuso9Yvbb425tzAgWAEqhVnZ0eGZ3320zjBPTQZqSYLcxtq6qdcWLdoU2ayN0iM0ipaYYpp_cPnqqT55Mqyz3F71S8i_ejIE8I-_o63rKjYT0ecdwjaJsg3ccp5zAwNuo0RbpqLC5IFqdHCRjfqrigfmIf8Y1IhkIxOdfgAEOQKmgc_WlC2qiUeipD9PKgXTuIzAeotJY-D2_IyB4SHMKouuSEcU9gHOXbPhg.zGqJyyTwb8JQGCUcRzBLJBzJ_SorKkBOw4h0FNqLX8c%26dib_tag%3Dse%26keywords%3D%25E9%25A6%2599%25E6%25B0%25B4%26qid%3D1732798838%26sprefix%3Dxiangsh%252Caps%252C306%26sr%3D8-17-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,Juve,8 The Green STE A-DOVER-DE-19901-US,暂无联系方式
"Lazy Sunday 信息素身体喷雾香水 - 女士古龙水和香料 - 身体喷雾,柑橘香调,橙花和甜美威廉梨香调 - 3.35 液体盎司,99 毫升",US$15.99,https://www.amazon.com/-/zh/sspa/click?ie=UTF8&spc=MTozNzQyMjA5MjM0ODIxMjY5OjE3MzI3OTg4Mzg6c3BfbXRmOjMwMDQzMDExMzUyNTQwMjo6MDo6&url=%2Fdp%2FB0D22TCD9V%2Fref%3Dsr_1_18_sspa%3F__mk_zh_CN%3D%25E4%25BA%259A%25E9%25A9%25AC%25E9%2580%258A%25E7%25BD%2591%25E7%25AB%2599%26crid%3D2W9URSHSWWR7E%26dib%3DeyJ2IjoiMSJ9.LRIFaSmcHzETURWMyPr4hDPnYonCbvheQoETRC7G6Sdg1EOCYXoAm2il7OK4VPMtokqvk4cuso9Yvbb425tzAgWAEqhVnZ0eGZ3320zjBPTQZqSYLcxtq6qdcWLdoU2ayN0iM0ipaYYpp_cPnqqT55Mqyz3F71S8i_ejIE8I-_o63rKjYT0ecdwjaJsg3ccp5zAwNuo0RbpqLC5IFqdHCRjfqrigfmIf8Y1IhkIxOdfgAEOQKmgc_WlC2qiUeipD9PKgXTuIzAeotJY-D2_IyB4SHMKouuSEcU9gHOXbPhg.zGqJyyTwb8JQGCUcRzBLJBzJ_SorKkBOw4h0FNqLX8c%26dib_tag%3Dse%26keywords%3D%25E9%25A6%2599%25E6%25B0%25B4%26qid%3D1732798838%26sprefix%3Dxiangsh%252Caps%252C306%26sr%3D8-18-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"WTFN, INC. dba Classic Brands",20950 Lassen Street-Chatsworth-California-91311-US,暂无联系方式
