name,价格,链接,公司名称,公司地址,联系方式
Dior Miss Christian EDT 喷雾 3.4 盎司(约 96.4 克)(含),US$122.99 ,https://www.amazon.com/-/zh/dp/B07P6M7DPP/ref=sr_1_9?__mk_zh_CN=%E4%BA%9A%E9%A9%AC%E9%80%8A%E7%BD%91%E7%AB%99&crid=2W9URSHSWWR7E&dib=eyJ2IjoiMSJ9.LRIFaSmcHzETURWMyPr4hDPnYonCbvheQoETRC7G6Sdg1EOCYXoAm2il7OK4VPMtokqvk4cuso9Yvbb425tzAgWAEqhVnZ0eGZ3320zjBPQzbU0LIACbeoqr2X7cLDjALvcSvFbptftJFF-87E256IeCi8_OWKYAU8ErGB1Lx6ezeYzECaxBvsQqwh2pDXTq9SyLEBLqng2VEQdp4VmnbDSn-o4P6tmRMOMeepnItR0nusbR68CugPTxJED4csDOt3g6OkfBi9eFkbZCJIEsXnp1ndExlisDgC49AUhPLws.a988TXJzGrzV0PJ-TJfrgkTyPvkGHOvUysMRGNPStUQ&dib_tag=se&keywords=%E9%A6%99%E6%B0%B4&qid=1732796520&sprefix=xiangsh%2Caps%2C306&sr=8-9,Unineed Ltd,"Unineed Ltd, 33 Lynedoch Street-1-Glasgow-Glasgow (City of)-G3 6AA-GB",13823148014
Kuumba Made 香草豆香精油滚珠 3.7毫升 | 滚珠香水 | 不含酒精,US$9.77 ,https://www.amazon.com/-/zh/dp/B07BBW73CR/ref=sr_1_10?__mk_zh_CN=%E4%BA%9A%E9%A9%AC%E9%80%8A%E7%BD%91%E7%AB%99&crid=2W9URSHSWWR7E&dib=eyJ2IjoiMSJ9.LRIFaSmcHzETURWMyPr4hDPnYonCbvheQoETRC7G6Sdg1EOCYXoAm2il7OK4VPMtokqvk4cuso9Yvbb425tzAgWAEqhVnZ0eGZ3320zjBPQzbU0LIACbeoqr2X7cLDjALvcSvFbptftJFF-87E256IeCi8_OWKYAU8ErGB1Lx6ezeYzECaxBvsQqwh2pDXTq9SyLEBLqng2VEQdp4VmnbDSn-o4P6tmRMOMeepnItR0nusbR68CugPTxJED4csDOt3g6OkfBi9eFkbZCJIEsXnp1ndExlisDgC49AUhPLws.a988TXJzGrzV0PJ-TJfrgkTyPvkGHOvUysMRGNPStUQ&dib_tag=se&keywords=%E9%A6%99%E6%B0%B4&qid=1732796520&sprefix=xiangsh%2Caps%2C306&sr=8-10,Thriving Enterprises,"8 The Green, Ste B-Dover-DE-19901-US",
"City Walk Perfume Oil/Fragrance Oil, 0.34 fl oz (10 ml), Soft/Powdery/Sweet",US$48.00 ,https://www.amazon.com/-/zh/sspa/click?ie=UTF8&spc=MToyOTk5Mzg3OTQ3NTYyNjQ6MTczMjc5NjUyMDpzcF9tdGY6MzAwNDIyMDk1NTc1OTAyOjowOjo&url=%2Fdp%2FB0D9J7D4DK%2Fref%3Dsr_1_11_sspa%3F__mk_zh_CN%3D%25E4%25BA%259A%25E9%25A9%25AC%25E9%2580%258A%25E7%25BD%2591%25E7%25AB%2599%26crid%3D2W9URSHSWWR7E%26dib%3DeyJ2IjoiMSJ9.LRIFaSmcHzETURWMyPr4hDPnYonCbvheQoETRC7G6Sdg1EOCYXoAm2il7OK4VPMtokqvk4cuso9Yvbb425tzAgWAEqhVnZ0eGZ3320zjBPQzbU0LIACbeoqr2X7cLDjALvcSvFbptftJFF-87E256IeCi8_OWKYAU8ErGB1Lx6ezeYzECaxBvsQqwh2pDXTq9SyLEBLqng2VEQdp4VmnbDSn-o4P6tmRMOMeepnItR0nusbR68CugPTxJED4csDOt3g6OkfBi9eFkbZCJIEsXnp1ndExlisDgC49AUhPLws.a988TXJzGrzV0PJ-TJfrgkTyPvkGHOvUysMRGNPStUQ%26dib_tag%3Dse%26keywords%3D%25E9%25A6%2599%25E6%25B0%25B4%26qid%3D1732796520%26sprefix%3Dxiangsh%252Caps%252C306%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,Cera Sine Cera,"121 E 22nd st, N1101-N1101-NEW YORK-NY-10010-US",暂无联系方式
"毒液信息素香水系列,英雄香水,女士香水,Verola 女士香水,专为女性设计,便携式香水持久女性",US$15.99 ,https://www.amazon.com/-/zh/dp/B0DJ2N52L5/ref=sr_1_17?__mk_zh_CN=%E4%BA%9A%E9%A9%AC%E9%80%8A%E7%BD%91%E7%AB%99&crid=2W9URSHSWWR7E&dib=eyJ2IjoiMSJ9.LRIFaSmcHzETURWMyPr4hDPnYonCbvheQoETRC7G6Sdg1EOCYXoAm2il7OK4VPMtokqvk4cuso9Yvbb425tzAgWAEqhVnZ0eGZ3320zjBPQzbU0LIACbeoqr2X7cLDjALvcSvFbptftJFF-87E256IeCi8_OWKYAU8ErGB1Lx6ezeYzECaxBvsQqwh2pDXTq9SyLEBLqng2VEQdp4VmnbDSn-o4P6tmRMOMeepnItR0nusbR68CugPTxJED4csDOt3g6OkfBi9eFkbZCJIEsXnp1ndExlisDgC49AUhPLws.a988TXJzGrzV0PJ-TJfrgkTyPvkGHOvUysMRGNPStUQ&dib_tag=se&keywords=%E9%A6%99%E6%B0%B4&qid=1732796520&sprefix=xiangsh%2Caps%2C306&sr=8-17,huazhoushi tianmeiyu dianzi shangwu youxian gongsi,335号龙景科技园-63号首层1011室-深圳市-龙岗区坂田街道布龙路-广东省-518129-CN,
JAFRA Tender Moments 清新婴儿古龙水,US$17.95 ,https://www.amazon.com/-/zh/dp/B09QHK78SL/ref=sr_1_18?__mk_zh_CN=%E4%BA%9A%E9%A9%AC%E9%80%8A%E7%BD%91%E7%AB%99&crid=2W9URSHSWWR7E&dib=eyJ2IjoiMSJ9.LRIFaSmcHzETURWMyPr4hDPnYonCbvheQoETRC7G6Sdg1EOCYXoAm2il7OK4VPMtokqvk4cuso9Yvbb425tzAgWAEqhVnZ0eGZ3320zjBPQzbU0LIACbeoqr2X7cLDjALvcSvFbptftJFF-87E256IeCi8_OWKYAU8ErGB1Lx6ezeYzECaxBvsQqwh2pDXTq9SyLEBLqng2VEQdp4VmnbDSn-o4P6tmRMOMeepnItR0nusbR68CugPTxJED4csDOt3g6OkfBi9eFkbZCJIEsXnp1ndExlisDgC49AUhPLws.a988TXJzGrzV0PJ-TJfrgkTyPvkGHOvUysMRGNPStUQ&dib_tag=se&keywords=%E9%A6%99%E6%B0%B4&qid=1732796520&sprefix=xiangsh%2Caps%2C306&sr=8-18,"YOLY'S GENERAL MERCHANDISE,CORP.",21925 SW 104TH CT-#208-Miami-FL-33190-1094-US,暂无联系方式
"Gucci Bloom 女士香水喷雾, 1.6盎司",US$69.49 ,https://www.amazon.com/-/zh/dp/B074W8WQ3J/ref=sr_1_24?__mk_zh_CN=%E4%BA%9A%E9%A9%AC%E9%80%8A%E7%BD%91%E7%AB%99&crid=2W9URSHSWWR7E&dib=eyJ2IjoiMSJ9.LRIFaSmcHzETURWMyPr4hDPnYonCbvheQoETRC7G6Sdg1EOCYXoAm2il7OK4VPMtokqvk4cuso9Yvbb425tzAgWAEqhVnZ0eGZ3320zjBPQzbU0LIACbeoqr2X7cLDjALvcSvFbptftJFF-87E256IeCi8_OWKYAU8ErGB1Lx6ezeYzECaxBvsQqwh2pDXTq9SyLEBLqng2VEQdp4VmnbDSn-o4P6tmRMOMeepnItR0nusbR68CugPTxJED4csDOt3g6OkfBi9eFkbZCJIEsXnp1ndExlisDgC49AUhPLws.a988TXJzGrzV0PJ-TJfrgkTyPvkGHOvUysMRGNPStUQ&dib_tag=se&keywords=%E9%A6%99%E6%B0%B4&qid=1732796520&sprefix=xiangsh%2Caps%2C306&sr=8-24,Unineed Ltd,"Unineed Ltd, 33 Lynedoch Street-1-Glasgow-Glasgow (City of)-G3 6AA-GB",13823148014
"Jo Malone Lime 罗勒柑橘,Jo Malone 出品 中性款 - 3.4 盎司古龙水喷雾(包装可能有所不同)",US$125.86 ,https://www.amazon.com/-/zh/dp/B002SPYW72/ref=sr_1_25?__mk_zh_CN=%E4%BA%9A%E9%A9%AC%E9%80%8A%E7%BD%91%E7%AB%99&crid=2W9URSHSWWR7E&dib=eyJ2IjoiMSJ9.LRIFaSmcHzETURWMyPr4hDPnYonCbvheQoETRC7G6Sdg1EOCYXoAm2il7OK4VPMtokqvk4cuso9Yvbb425tzAgWAEqhVnZ0eGZ3320zjBPQzbU0LIACbeoqr2X7cLDjALvcSvFbptftJFF-87E256IeCi8_OWKYAU8ErGB1Lx6ezeYzECaxBvsQqwh2pDXTq9SyLEBLqng2VEQdp4VmnbDSn-o4P6tmRMOMeepnItR0nusbR68CugPTxJED4csDOt3g6OkfBi9eFkbZCJIEsXnp1ndExlisDgC49AUhPLws.a988TXJzGrzV0PJ-TJfrgkTyPvkGHOvUysMRGNPStUQ&dib_tag=se&keywords=%E9%A6%99%E6%B0%B4&qid=1732796520&sprefix=xiangsh%2Caps%2C306&sr=8-25,"Hair Care & Beyond, Inc.",4 Trumper Rd-spring Valley-NY-10977-US,18911141334
"Yves Saint Laurent 女士黑色鸦片香水喷雾,1 盎司",US$67.99 ,https://www.amazon.com/-/zh/dp/B07CPL4WZV/ref=sr_1_29?__mk_zh_CN=%E4%BA%9A%E9%A9%AC%E9%80%8A%E7%BD%91%E7%AB%99&crid=2W9URSHSWWR7E&dib=eyJ2IjoiMSJ9.LRIFaSmcHzETURWMyPr4hDPnYonCbvheQoETRC7G6Sdg1EOCYXoAm2il7OK4VPMtokqvk4cuso9Yvbb425tzAgWAEqhVnZ0eGZ3320zjBPQzbU0LIACbeoqr2X7cLDjALvcSvFbptftJFF-87E256IeCi8_OWKYAU8ErGB1Lx6ezeYzECaxBvsQqwh2pDXTq9SyLEBLqng2VEQdp4VmnbDSn-o4P6tmRMOMeepnItR0nusbR68CugPTxJED4csDOt3g6OkfBi9eFkbZCJIEsXnp1ndExlisDgC49AUhPLws.a988TXJzGrzV0PJ-TJfrgkTyPvkGHOvUysMRGNPStUQ&dib_tag=se&keywords=%E9%A6%99%E6%B0%B4&qid=1732796520&sprefix=xiangsh%2Caps%2C306&sr=8-29,Unineed Ltd,"Unineed Ltd, 33 Lynedoch Street-1-Glasgow-Glasgow (City of)-G3 6AA-GB",13823148014
Paco Rabanne 100 万/Paco Rabanne EDT 喷雾 93.6 克(米),US$79.99 ,https://www.amazon.com/-/zh/dp/B01F2LA68W/ref=sr_1_31?__mk_zh_CN=%E4%BA%9A%E9%A9%AC%E9%80%8A%E7%BD%91%E7%AB%99&crid=2W9URSHSWWR7E&dib=eyJ2IjoiMSJ9.LRIFaSmcHzETURWMyPr4hDPnYonCbvheQoETRC7G6Sdg1EOCYXoAm2il7OK4VPMtokqvk4cuso9Yvbb425tzAgWAEqhVnZ0eGZ3320zjBPQzbU0LIACbeoqr2X7cLDjALvcSvFbptftJFF-87E256IeCi8_OWKYAU8ErGB1Lx6ezeYzECaxBvsQqwh2pDXTq9SyLEBLqng2VEQdp4VmnbDSn-o4P6tmRMOMeepnItR0nusbR68CugPTxJED4csDOt3g6OkfBi9eFkbZCJIEsXnp1ndExlisDgC49AUhPLws.a988TXJzGrzV0PJ-TJfrgkTyPvkGHOvUysMRGNPStUQ&dib_tag=se&keywords=%E9%A6%99%E6%B0%B4&qid=1732796520&sprefix=xiangsh%2Caps%2C306&sr=8-31,Beauty Store LLC,2010 Cobb International Blvd Suite D-KENNESAW-GA-30152-US,
MOBETTER FRAGRANCE OILS 粉末清新香味香水身体油中性,US$12.99 ,https://www.amazon.com/-/zh/dp/B08CTHMX5C/ref=sr_1_33?__mk_zh_CN=%E4%BA%9A%E9%A9%AC%E9%80%8A%E7%BD%91%E7%AB%99&crid=2W9URSHSWWR7E&dib=eyJ2IjoiMSJ9.LRIFaSmcHzETURWMyPr4hDPnYonCbvheQoETRC7G6Sdg1EOCYXoAm2il7OK4VPMtokqvk4cuso9Yvbb425tzAgWAEqhVnZ0eGZ3320zjBPQzbU0LIACbeoqr2X7cLDjALvcSvFbptftJFF-87E256IeCi8_OWKYAU8ErGB1Lx6ezeYzECaxBvsQqwh2pDXTq9SyLEBLqng2VEQdp4VmnbDSn-o4P6tmRMOMeepnItR0nusbR68CugPTxJED4csDOt3g6OkfBi9eFkbZCJIEsXnp1ndExlisDgC49AUhPLws.a988TXJzGrzV0PJ-TJfrgkTyPvkGHOvUysMRGNPStUQ&dib_tag=se&keywords=%E9%A6%99%E6%B0%B4&qid=1732796520&sprefix=xiangsh%2Caps%2C306&sr=8-33,MOBETTER DEALS LLC,516 SOSEBEE FARM ROAD-SUITE 84-GRAYSON-GEORGIA-30017-US,13466685617
"Carolina Herrera Good Girl 女士香水,3 件滚珠迷你礼品套装",US$69.95 ,https://www.amazon.com/-/zh/dp/B0C4VBG22J/ref=sr_1_34?__mk_zh_CN=%E4%BA%9A%E9%A9%AC%E9%80%8A%E7%BD%91%E7%AB%99&crid=2W9URSHSWWR7E&dib=eyJ2IjoiMSJ9.LRIFaSmcHzETURWMyPr4hDPnYonCbvheQoETRC7G6Sdg1EOCYXoAm2il7OK4VPMtokqvk4cuso9Yvbb425tzAgWAEqhVnZ0eGZ3320zjBPQzbU0LIACbeoqr2X7cLDjALvcSvFbptftJFF-87E256IeCi8_OWKYAU8ErGB1Lx6ezeYzECaxBvsQqwh2pDXTq9SyLEBLqng2VEQdp4VmnbDSn-o4P6tmRMOMeepnItR0nusbR68CugPTxJED4csDOt3g6OkfBi9eFkbZCJIEsXnp1ndExlisDgC49AUhPLws.a988TXJzGrzV0PJ-TJfrgkTyPvkGHOvUysMRGNPStUQ&dib_tag=se&keywords=%E9%A6%99%E6%B0%B4&qid=1732796520&sprefix=xiangsh%2Caps%2C306&sr=8-34,Electrolase LLC,543 Bedford Avenue Suite 159-Brooklyn-NY-11211-US,暂无联系方式
"Venom 信息素香水系列,英雄香水,女士香水,Verola 女士香水,专为女性设计,便携式香水持久女性。",US$13.99 ,https://www.amazon.com/-/zh/dp/B0D1CJBN13/ref=sr_1_35?__mk_zh_CN=%E4%BA%9A%E9%A9%AC%E9%80%8A%E7%BD%91%E7%AB%99&crid=2W9URSHSWWR7E&dib=eyJ2IjoiMSJ9.LRIFaSmcHzETURWMyPr4hDPnYonCbvheQoETRC7G6Sdg1EOCYXoAm2il7OK4VPMtokqvk4cuso9Yvbb425tzAgWAEqhVnZ0eGZ3320zjBPQzbU0LIACbeoqr2X7cLDjALvcSvFbptftJFF-87E256IeCi8_OWKYAU8ErGB1Lx6ezeYzECaxBvsQqwh2pDXTq9SyLEBLqng2VEQdp4VmnbDSn-o4P6tmRMOMeepnItR0nusbR68CugPTxJED4csDOt3g6OkfBi9eFkbZCJIEsXnp1ndExlisDgC49AUhPLws.a988TXJzGrzV0PJ-TJfrgkTyPvkGHOvUysMRGNPStUQ&dib_tag=se&keywords=%E9%A6%99%E6%B0%B4&qid=1732796520&sprefix=xiangsh%2Caps%2C306&sr=8-35,Lianjiangshi Anpu Jutu Shuichan Yangzhichang,安铺镇茂桂路村委会茂上村-戚海途的土地及其建筑物-廉江市-广东省-524444-CN,暂无联系方式
"Christian Dior 女士淡香水喷雾,上瘾,3.4 盎司",US$147.99 ,https://www.amazon.com/-/zh/dp/B001AXWNGU/ref=sr_1_38?__mk_zh_CN=%E4%BA%9A%E9%A9%AC%E9%80%8A%E7%BD%91%E7%AB%99&crid=2W9URSHSWWR7E&dib=eyJ2IjoiMSJ9.LRIFaSmcHzETURWMyPr4hDPnYonCbvheQoETRC7G6Sdg1EOCYXoAm2il7OK4VPMtokqvk4cuso9Yvbb425tzAgWAEqhVnZ0eGZ3320zjBPQzbU0LIACbeoqr2X7cLDjALvcSvFbptftJFF-87E256IeCi8_OWKYAU8ErGB1Lx6ezeYzECaxBvsQqwh2pDXTq9SyLEBLqng2VEQdp4VmnbDSn-o4P6tmRMOMeepnItR0nusbR68CugPTxJED4csDOt3g6OkfBi9eFkbZCJIEsXnp1ndExlisDgC49AUhPLws.a988TXJzGrzV0PJ-TJfrgkTyPvkGHOvUysMRGNPStUQ&dib_tag=se&keywords=%E9%A6%99%E6%B0%B4&qid=1732796520&sprefix=xiangsh%2Caps%2C306&sr=8-38,Unineed Ltd,"Unineed Ltd, 33 Lynedoch Street-1-Glasgow-Glasgow (City of)-G3 6AA-GB",13823148014
