歌曲名,时长,作者,专辑
☹,2:46,Gray Planet,情感日常
nostalgia,2:1,Inteus,nostalgia
AME TO SAKURA,2:40,Seto,❀
▲,3:54,Arajua,"Flickering Lights, Atmospheric Waves"
ＡＳＬＥＥＰ,2:19,TRA$H,Awake Vol. 1
ＣＯＬＤ,2:2,TRA$H,ＣＯＬＤ
Ther,5:9,Kraffa,Short note from time
Stitches,3:26,Shawn Mendes,Handwritten (Deluxe)
jaded,2:40,sadeyes,jaded
"Trust Nobody Love, Nobody The Same",2:13,sagun,"Trust Nobody Love, Nobody The Same"
They Don't Need Me,1:35,Sarcastic Sounds,They Don't Need Me
rerouting,1:50,deadbeatteen,rerouting
whole heart,1:10,m6ke,when in doubt
I Don't Sleep,1:43,Sarcastic Sounds,I Don't Sleep
Sunset/Sunrise (Prod. Kendo),1:27,SNØW,L O N E L Y R O A D (Lonely Music Ep)
正 在 退 出 人 類 遊 戲 ▁ ▂ ▃,2:25,Seto,正 在 退 出 人 類 遊 戲 ▁ ▂ ▃
Dead Inside,2:24,ACThree333,Im upset
again,2:37,timmies,again
ᴀʟʟ ɢᴏᴏᴅ,1:56,LuluSweety,安
Take It All In,3:4,Russ,Take It All In
changes,2:1,XXXTENTACION,changes
rain（prod.bycon，feat snow）,3:22,Shining安吉,rain(prod. bycon feat snow）
Who? (feat. Shiloh Dynasty),2:37,TSUKI,Who? (feat. Shiloh Dynasty)
我们再重蹈覆辙好不好,3:23,LuluSweety,我们再重蹈覆辙好不好
午夜心碎俱乐部2.0,2:34,大D(DLyn),午夜心碎俱乐部2.0
WALLS,2:33,sapientdream,DREAM
 :(,3:42,10K,:(
:(,3:36,whtvs,:(
Come Thru,1:30,Shiloh Dynasty,Come Thru
Helpless！,1:30,SWALEN,HELPLESS
ＷＡＩＴＩＮＧ,2:3,TRA$H,ＷＡＩＴＩＮＧ
i know you so well,1:45,xfruge,i know you so well
Still Waiting,2:20,MESSUP,Still Waiting
死在人海,1:17,雾江月,死在人海
Everybody Dies In Their Nightmares,1:35,XXXTENTACION,17
My Ex Bitch Hates Me,2:59,Juice WRLD,My Ex ***** Hates Me
I Wish,3:34,Tom MacDonald,I Wish
Heather X Eyes Blue (Lofi Version),3:0,Cosmic Sky,Heather X Eyes Blue (Lofi Version)
美梦,4:20,周公,美梦
Exile,4:25,Josh Rabenold,Exile
畅所欲言（demo）,2:50,刘佳奇,畅所欲言（demo）
不说 (原来是不说),3:38,周公,不说
柴 鱼,2:33,New,夏日啤酒馆
crystal dolphin,1:54,engelwood,crystal dolphin
school rooftop,2:47,DYL,school rooftop
water.dance (rmx),2:19,johto.,winter chill•
in luv w u,1:54,pxzvc,in luv w u
leaping through time,2:13,stream_error,leaping through time
love.,2:57,Theysay.,love.
carry on.,1:36,tkdwn.,carry on.
June Gloom.,2:24,prima,June Gloom.
对 不 起 。Wonderful u AGA n3 bootleg,3:39,眠,wonderful u (n3 bootleg
嘉 禾 天 橙 国 际 大 影 院,1:47,银河骑士GalaxyKnight,她 ，就 是 东 京
heartbreaker,1:56,AllHailSun,heartbreaker
i don't love you anymore,1:47,erc grcc,i don't love you anymore
Blame You,3:28,眠,Blame You
Why did you enter in my life ?,2:51,cxld blxxd,Why did you enter in my life ?
想 在 每 個 朦 朧 的 夜 幕 下 擁 抱 妳,3:2,BlueLee,Lofi 《Hazy Night》
嘉 禾 天 橙 国 际 大 影 院 . 芬 芳 厅,2:50,银河骑士GalaxyKnight,嘉 禾 天 橙 国 际 大 影 院 . 芬 芳 厅
Strange Sensation,1:11,xfruge,Strange Sensation
Twilight,8:40,Haruka Nakamura,Twilight
Azure Skies,3:6,trxxshed,Azure Skies
春夜、雨を喜ぶ - メインテーマ (Piano & Strings),3:55,小瀬村晶,TBS系 火曜ドラマ 中学聖日記 オリジナル・サウンドトラック
time machine (feat. aren park),3:45,mj apanay,seen 11:23 pm
and i love you so,1:19,Rook1e,and i love you so
Lost my pieces,2:1,橋本由香利,とらドラ! オリジナル・サウンドトラック
囹圄,5:11,姜没,雨季
Lets Escape,3:14,sohayl ryder,Lets Escape
Jovial,2:22,yiit242,Jovial
Bubble Gum,2:55,Clairo,Bubble Gum
Nardia,3:8,hideyuki hashimoto,Nardia
ζ,3:7,α·Pav,Pavonis ~ Piano Collection II ~
mure,4:4,hideyuki hashimoto,room
呼吸,6:47,kyooo,鸟が歌う
moonlight-Binaural recording ver.- (acoustic selection -ACOMOON-),4:22,moumoon,moumoon acoustic selection -ACOMOON-
nemurini,7:25,macaroom,official bootleg(a)
Chamomile Tea,2:26,Chance Thrash,Chamomile Tea
Travelers,3:30,Andrew Prahlow,Outer Wilds - Original Soundtrack
yuki,2:32,Seto,君がいない街
裸言,2:13,Quinn葵因,理想
说,2:49,蛙池,蛙池 2020-2021
+7,2:59,柠安,+7
我爱你，却不能拯救你,6:7,好乐团,至少我想感同你的身受
晚安,4:58,Joy,GN
YOU feat. kazami,4:57,TSUTCHIE,samurai champloo music record masta
死在人海,1:17,雾江月,死在人海
蒸发,5:49,好乐团,在游荡的路上学会宽容
めんどくさいのうた,5:36,関取花,朝
きんぎょの夢,4:39,関取花,きんぎょの夢
ハートビート（恋途未卜）,4:49,wungu lan klein,ハートビート（恋途未卜）
どうして生命は、こんな美しい夜にも涙を流すのだろう,7:14,別野加奈,death has light
替代品,4:59,Sophis,替代品
雲のかたち,3:35,PASCALS,TBS系 金曜ドラマ「凪のお暇」オリジナル・サウンドトラック
Loving Hannah,3:18,Isobel Campbell,Milk White Sheets
April Encounter,3:28,很美味,四月邂逅
That Mistake Is Not u,2:7,marlboro.,That Mistake Is Not u
少年日记,3:33,nidex,少年日记
煎 心 且 衔 泪,4:19,夜行双面猫,煎 心 且 衔 泪
Oh My God Isn't That Gorgeous (Instrumental),2:53,Akira the Don,Stop Thinking V: Trancendent Instrumentals for Meditation
Counter-Clockwise Clock（piano ver.）,3:0,ACENG 丶,Merry Christmas
Woven Song,3:10,Ólafur Arnalds,Woven Song
樱不及落,2:15,999NOReason,樱不及落
Ꮮ Ꮺ Ꮙ Ꭼ,2:57,ADG,L O V E
Fukashigi no Carte but is it okay if it's lofi?,2:45,Kijugo,Fukashigi no Carte but is it okay if it's lofi?
形容,0:53,马铃薯小鬼a,马铃薯的叽里呱啦
不分手的恋爱,0:36,马铃薯小鬼a,马铃薯的叽里呱啦
直到你降临,0:15,马铃薯小鬼a,马铃薯的叽里呱啦
红,0:33,马铃薯小鬼a,马铃薯的叽里呱啦
to the seaside...,1:35,silky soap,Remember that one time​.​.​.
现 在 的 你,2:56,21st Century Schizoid Man,现 在 的 你
のすたるぢやの青い猫,4:6,能登麻美子,時のしおり
Lucky Final,3:11,go missing,when i meetu
Sacred Play Secret Place,5:17,Matryoshka,Laideronnette
Adan no Shima no Tanjyosai,6:7,青葉市子,Windswept Adan
i'll keep you safe,2:22,AdotKdot,i'll keep you safe
White Ferrari,4:8,Frank Ocean,Blonde
爱是雪地里写诗,5:21,雾江月,冬
Sunflower Feelings,1:28,Kuzu Mellow,Sunflower Feelings
i won't let you feel alone again,2:28,Demxntia,i won't let you feel alone again
龙与虎,2:27,Seto,龙与虎
snowfall,2:4,Øneheart,snowfall
02 有些答案不必等（纯音乐版）,4:56,三册柏,有些答案不必等
isolated,2:21,sohayl ryder,isolated
纯 粹 的 想 象 pureImagination （ROOK1E）,2:46,马帅,Titanic.
Goodnight (feat. Ivri),2:57,ondi vil,Alone in a Room Full of Painful Thoughts
北极,2:38,曾雪雅,北极
世间所有的蓝 都是你的背影,3:0,Seto,世间所有的蓝 都是你的背影
Endless Love,3:52,ZRobb,Racing
us,2:10,4oot,us
愛,3:14,Xero,愛
"Ich bin Himmel, wenn ich den Himmel liebe (feat. Seraphina Theresa)",2:42,Sergio Díaz De Rojas,The Morning Is a River
=̴̶̷̤̄,3:10,沙皮,晚安
Shootout (Slowed + Reverb),2:20,Izzamuzzic,Shootout (Slowed + Reverb)
東京上空,4:14,RADWIMPS,すずめの戸締まり
ꕥ,1:40,71,ꕥ
☾,2:5,Lil Nickle,有点不开心
ᐇ,2:20,ZEKA,ᐇ
///,4:15,KAII,///
♥,2:12,Mo,暖
ㅤㅤㅤㅤㅤㅤㅤㅤ,3:32,LXY,只给有缘人
Ꮺ,2:42,nevva,Ꮺ
❀,2:15,nevva,❀
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀,1:10,Wednesday李梓楠,糖分100%
₍ₗₒᵥₑ₎⁽ᶜᵒᶠᶠᵉᵉ⁾ 伴奏,2:2,Die-OverXYC,₍ₗₒᵥₑ₎⁽ᶜᵒᶠᶠᵉᵉ⁾
♡,5:30,Chloe Wonderland,Starlight
☯ ☯ ☯ ☯ ☯ ☯ ☯,4:47,KASSETTE BOYS,Album 3
️️️️️️️,2:13,sɨve,️️️️️
☂ *sᴀᴅᴘᴜsʜᴇᴇɴ* ☁,1:30,O i i g i ≈,Moods
你❤是✿需要▉我❤的，对么☹☹☹,3:13,Robins Lu,你❤是✿需要▉我❤的，对么☹☹☹
0.0,4:12,安约翰,0.0
☆,2:55,Chloe Wonderland,Starlight
∌,1:44,go missing,∌
Ƥ ɑ ɪ ɳ,2:40,4-ever,Ƥ ɑ ɪ ɳ
: (,3:12,SLIGHT,: (
η,2:51,α·Pav,Pavonis ~ Piano Collection II ~
❦,3:0,Wednesday李梓楠,申请做你的小熊软糖
♡+:｡.｡all to you｡.｡:+♡*♥,2:57,✰loowana✰,♡+:｡.｡all to you｡.｡:+♡*♥
=̴̶̷̤̄,3:10,沙皮,晚安
☔,2:2,Aziry,4.14
( ͡ ͡° ͜ ʖ ͡ ͡°)◞♡,2:41,SheldonLeeee,我 不 坏 、你 不 爱
♫,3:40,DJ OuYoung,!不能包含 emoji 表情
Ø,3:0,the tumbled sea,melody/summer
☆.,1:54,go missing,stars.
✿,2:34,周大发,ㅤ
ㅤ,4:20,Lynn,ㅤ
~~~~~~~~~~~~~~~~~~~~~~❂~~~~~~~~~~~~~~~~~~~~~~~~~~~,3:13,CupAISSS,宇宙中最孤独的行星
♡,1:7,LEON,♡
:(,3:40,Mei,:(
ㅤㅤ,2:54,soge,ㅤㅤ
ζ,3:7,α·Pav,Pavonis ~ Piano Collection II ~
✳✴✵✶✷✸✹✺,3:17,TRAPGO,✳✴✵✶✷✸✹✺
♡,4:39,Xxankid,♡
⠀⠀⠀⠀,3:38,⠀⠀⠀⠀,⠀⠀⠀⠀⠀⠀⠀⠀
☾,1:17,CMJ,‭‭ ‭‭
Just because!,4:37,Discent,Just because!
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀,3:31,别网恋,⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
❤•.¸✿¸.•❤,1:59,COSMASTLY,❤•.¸✿¸.•❤
️,1:20,Leo x,️
↛ ღ ↚,3:31,Lil Nickle,good night
✟,1:34,AT.H,✟
♡B l u e ℉,3:14,BlueLee,藍 色 的 溫 度
ヽ｀ヽ｀、ヽ｀,2:33,沙皮,晚安
;(,2:42,tamagotchi,;(
♨,1:54,AP.,$olitude
ᵃ ʷⁱˢᵉ ᵐᵃⁿ ⁿᵉᵛᵉʳ ᶠᵃˡˡˢ ⁱⁿ ˡᵒᵛᵉ,2:32,777,ᵃ ʷⁱˢᵉ ᵐᵃⁿ ⁿᵉᵛᵉʳ ᶠᵃˡˡˢ ⁱⁿ ˡᵒᵛᵉ
Love Guitar,3:13,MElatonin,BXXXX
✟,3:12,莆嵬,✟
❤️,3:36,Lynn,❤️
❄️,2:44,莆嵬,＊
❤,4:51,月洙,纯音乐
❣️  =),2:29,Jack1936,❣️
:(,3:37,Lil Nickle,^ㅤ^ㅤ^
丶`、52%丶`、,3:24,Lil Nickle,juice wrld type beat
♦️          ♦️          ♦️,2:30,CamberX,♦️
【售断】ø,3:13,Lil Nickle,water
♡۞๛♡,3:38,KRIK,♡۞๛♡
⊗,2:34,Seto,Free emo beat
☹,2:46,Gray Planet,情感日常
ฅ’ω’ฅ,3:27,WJCTION,ฅ’ω’ฅ
¿d ┘,2:18,名字即是价值,¿d ┐
☺,2:47,橘贩,☺
✳ ✳ ✳ ✳ ✳ ✳ ✳,1:40,KASSETTE BOYS,Album 3
oØoØoØ,2:19,✝BL▲CK C∆T✝,▲ P ∆ ✝ H Y
ᴵᵀ'ˢ ᴬ ᴸᴼᴺᴱᴸᵞ ᴿᴼᴬᴰ. (Prod. Kendo),2:30,purplehazeee,ˢᵁᴺᴿᴵˢᴱ/ˢᵁᴺˢᴱᵀ (Prod. Kendo)
▄︻┻═┳一๛◎۞◎۞◎۞,2:44,KRIK,▄︻┻═┳一๛◎۞◎۞◎۞
☏,1:20,橘贩,☏
λ,3:31,尚先生,白日梦
❀,3:44,Rainbow-T,Cherry blossoms
▲,3:54,Arajua,"Flickering Lights, Atmospheric Waves"
⊙,2:37,Ala,⊙
⛄,2:29,Ala,⛄
☁,2:37,FAT TIGER,☁
ㅤ,3:49,299cc,Intro
ㅤ,3:13,LEIER,ㅤ
️,2:6,一只有自闭症的鼹鼠,乱炖
ㅤ,2:56,毛明杰,一千年以后
☁☂,2:48,Die-OverXYC,☁☂
ᯤ,2:1,71,ᯤ
‎・ࡇ・,3:33,空匪,污言秽语
ㅤ,3:17,Setton,ㅤ
ヽ｀ヽ｀、ヽ｀、ヽ｀ヽ｀、ヽ,1:19,Jetson,ヽ｀ヽ｀、ヽ｀、ヽ｀ヽ｀、ヽ
ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ◽ ㅤㅤㅤㅤㅤㅤㅤㅤㅤ◽ ㅤㅤㅤㅤㅤㅤㅤㅤㅤ◽ ㅤㅤㅤㅤㅤㅤㅤㅤㅤ◽ ㅤㅤㅤㅤㅤㅤㅤㅤㅤ◽ ㅤㅤㅤㅤㅤㅤㅤㅤㅤ◽ ㅤㅤㅤㅤㅤㅤㅤㅤㅤ◽ ㅤㅤㅤㅤㅤㅤㅤㅤㅤ◽ ㅤㅤㅤㅤㅤㅤㅤㅤㅤ◽ㅤ,1:33,Jetson,ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ◽ ㅤㅤㅤㅤㅤㅤㅤㅤㅤ◽ ㅤㅤㅤㅤㅤㅤㅤㅤㅤ◽ ㅤㅤㅤㅤㅤㅤㅤㅤㅤ◽ ㅤㅤㅤㅤㅤㅤㅤㅤㅤ◽ ㅤㅤㅤㅤㅤㅤㅤㅤㅤ◽ ㅤㅤㅤㅤㅤㅤㅤㅤㅤ◽ ㅤㅤㅤㅤㅤㅤㅤㅤㅤ◽ ㅤㅤㅤㅤㅤㅤㅤㅤㅤ◽
